FID,FN,FDep,FArr,FDepD,FDepT,FArrT,FArrD,UDepD,UDepT,UArrT,UArrD,FFT,FTZD,Atype
3,102,LCA,ATH,1,425,530,1,1,245,350,1,105,0,320
3,102,LCA,ATH,2,425,530,2,2,245,350,2,105,0,320
3,102,LCA,ATH,3,425,530,3,3,245,350,3,105,0,320
3,102,LCA,ATH,4,425,530,4,4,245,350,4,105,0,320
3,102,LCA,ATH,5,425,530,5,5,245,350,5,105,0,320
3,102,LCA,ATH,6,425,530,6,6,245,350,6,105,0,320
3,102,LCA,ATH,7,425,530,7,7,245,350,7,105,0,320
4,103,ATH,LCA,1,575,670,1,1,395,490,1,95,0,320
4,103,ATH,LCA,2,575,670,2,2,395,490,2,95,0,320
4,103,ATH,LCA,3,575,670,3,3,395,490,3,95,0,320
4,103,ATH,LCA,4,575,670,4,4,395,490,4,95,0,320
4,103,ATH,LCA,5,575,670,5,5,395,490,5,95,0,320
4,103,ATH,LCA,6,575,670,6,6,395,490,6,95,0,320
4,103,ATH,LCA,7,575,670,7,7,395,490,7,95,0,320
5,104,LCA,ATH,1,640,745,1,1,460,565,1,105,0,320
5,104,LCA,ATH,2,640,745,2,2,460,565,2,105,0,320
5,104,LCA,ATH,3,640,745,3,3,460,565,3,105,0,320
5,104,LCA,ATH,4,640,745,4,4,460,565,4,105,0,320
5,104,LCA,ATH,5,640,745,5,5,460,565,5,105,0,320
5,104,LCA,ATH,6,640,745,6,6,460,565,6,105,0,320
5,104,LCA,ATH,7,640,745,7,7,460,565,7,105,0,320
6,105,ATH,LCA,1,790,885,1,1,610,705,1,95,0,320
6,105,ATH,LCA,2,790,885,2,2,610,705,2,95,0,320
6,105,ATH,LCA,3,790,885,3,3,610,705,3,95,0,320
6,105,ATH,LCA,4,790,885,4,4,610,705,4,95,0,320
6,105,ATH,LCA,5,790,885,5,5,610,705,5,95,0,320
6,105,ATH,LCA,6,790,885,6,6,610,705,6,95,0,320
6,105,ATH,LCA,7,790,885,7,7,610,705,7,95,0,320
7,106,LCA,ATH,1,945,1050,1,1,765,870,1,105,0,320
7,106,LCA,ATH,2,945,1050,2,2,765,870,2,105,0,320
7,106,LCA,ATH,3,945,1050,3,3,765,870,3,105,0,320
7,106,LCA,ATH,4,945,1050,4,4,765,870,4,105,0,320
7,106,LCA,ATH,5,945,1050,5,5,765,870,5,105,0,320
7,106,LCA,ATH,6,945,1050,6,6,765,870,6,105,0,320
7,106,LCA,ATH,7,945,1050,7,7,765,870,7,105,0,320
8,107,ATH,LCA,1,1095,1190,1,1,915,1010,1,95,0,320
8,107,ATH,LCA,2,1095,1190,2,2,915,1010,2,95,0,320
8,107,ATH,LCA,3,1095,1190,3,3,915,1010,3,95,0,320
8,107,ATH,LCA,4,1095,1190,4,4,915,1010,4,95,0,320
8,107,ATH,LCA,5,1095,1190,5,5,915,1010,5,95,0,320
8,107,ATH,LCA,6,1095,1190,6,6,915,1010,6,95,0,320
8,107,ATH,LCA,7,1095,1190,7,7,915,1010,7,95,0,320
9,108,LCA,ATH,7,1100,1205,7,7,920,1025,7,105,0,320
10,108,LCA,ATH,6,1190,1295,6,6,1010,1115,6,105,0,320
11,108,LCA,ATH,4,1100,1205,4,4,920,1025,4,105,0,320
11,108,LCA,ATH,5,1100,1205,5,5,920,1025,5,105,0,320
12,108,LCA,ATH,2,1190,1295,2,2,1010,1115,2,105,0,320
12,108,LCA,ATH,3,1190,1295,3,3,1010,1115,3,105,0,320
13,108,LCA,ATH,1,1100,1205,1,1,920,1025,1,105,0,320
14,109,ATH,LCA,7,1250,1345,7,7,1070,1165,7,95,0,320
15,109,ATH,LCA,6,1340,1435,6,6,1160,1255,6,95,0,320
16,109,ATH,LCA,4,1250,1345,4,4,1070,1165,4,95,0,320
16,109,ATH,LCA,5,1250,1345,5,5,1070,1165,5,95,0,320
17,109,ATH,LCA,2,1340,1435,2,2,1160,1255,2,95,0,320
17,109,ATH,LCA,3,1340,1435,3,3,1160,1255,3,95,0,320
18,109,ATH,LCA,1,1250,1345,1,1,1070,1165,1,95,0,320
